objectid,web_url,phone,zip,gis_id,address,numrooms,name,x,y,addrid
108,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-us-capitol-DCANMGI/index.html,202-408-4870,20002,Htl_61,1225 1ST STREET NE,204,HILTON GARDEN INN WASHINGTON DC/U.S. CAPITOL,399512.859999999986030,137601.440000000002328,307284
109,http://www.hicapitoldc.com/,202-479-4000,20024,Htl_64,550 C STREET SW,532,HOLIDAY INN CAPITOL,398297.179999999993015,135310.640000000013970,276671
110,http://www.inndc.com/,202-483-2000,20005,Htl_65,1501 RHODE ISLAND AVENUE NW,212,HOLIDAY INN WASHINGTON DC-CENTRAL/WHITE HOUSE,396966.840000000025611,137806.790000000008149,242311
12,https://www.rosewoodhotels.com/en/washington-dc,202-617-2400,20007,Htl_12,1050 31ST STREET NW,61,"ROSEWOOD WASHINGTON, D.C.",394669.369999999995343,137349.830000000016298,273780
111,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-downtown-WASHWHW/index.html,202-265-8000,20005,Htl_66,1475 MASSACHUSETTS AVENUE NW,175,"HOMEWOOD SUITES WASHINGTON, D.C. DOWNTOWN",397087.190000000002328,137647.000000000000000,279197
112,http://www.hiusa.org/washingtondc/,202-737-2333,20001,Htl_67,1009 11TH STREET NW,250,HI WASHINGTON DC HOSTEL,397679.229999999981374,137228.700000000011642,239366
113,http://www.hotelgeorge.com/,202-347-4200,20001,Htl_68,15 E STREET NW,139,KIMPTON GEORGE HOTEL,399140.540000000037253,136505.230000000010477,237159
114,http://www.hotel-harrington.com/,202-628-8140,20004,Htl_69,436 11TH STREET NW,242,HOTEL HARRINGTON,397631.609999999986030,136457.619999999995343,300863
115,https://www.masonandrookhotel.com/,202-742-3100,20005,Htl_70,1430 RHODE ISLAND AVENUE NW,178,KIMPTON MASON & ROOK HOTEL,397137.340000000025611,137802.820000000006985,279165
116,http://www.hotellombardy.com/,202-828-2600,20006,Htl_71,2019 PENNSYLVANIA AVENUE NW,140,HOTEL LOMBARDY,396016.940000000002328,137076.170000000012806,307825
117,http://www.hotelmadera.com/,202-296-7600,20036,Htl_72,1310 NEW HAMPSHIRE AVENUE NW,82,KIMPTON HOTEL MADERA,396031.559999999997672,137753.589999999996508,243325
118,http://www.monaco-dc.com/,202-628-7177,20004,Htl_73,700 F STREET NW,183,KIMPTON HOTEL MONACO,398051.359999999986030,136571.239999999990687,301590
119,http://www.hotelpalomar-dc.com/,202-448-1800,20037,Htl_74,2121 P STREET NW,335,KIMPTON HOTEL PALOMAR WASHINGTON DC,395887.770000000018626,137995.720000000001164,225942
120,http://www.rougehotel.com/,202-232-8000,20036,Htl_75,1315 16TH STREET NW,137,KIMPTON ROUGE HOTEL,396866.290000000037253,137823.519999999989523,242317
13,http://www3.hilton.com/en/hotels/district-of-columbia/capital-hilton-DCASHHH/index.html,202-393-1000,20036,Htl_13,1001 16TH STREET NW,541,CAPITAL HILTON,396883.190000000002328,137252.470000000001164,278775
121,http://www.sofitel.com/gb/hotel-3293-sofitel-washington-dc-lafayette-square/index.shtml,202-730-8800,20005,Htl_76,806 15TH STREET NW,237,SOFITEL WASHINGTON DC LAFAYETTE SQUARE,397051.780000000027940,136961.980000000010477,279949
122,https://www.wyndhamhotels.com/hojo/washington-district-of-columbia/howard-johnson-express-inn-washington-dc/overview,202-546-9200,20002,Htl_77,600 NEW YORK AVENUE NE,53,HOWARD JOHNSON BY WYNDHAM WASHINGTON DC,400381.049999999988358,138273.429999999993015,288753
123,http://washingtonregency.hyatt.com/en/hotel/home.html,202-737-1234,20001,Htl_78,400 NEW JERSEY AVENUE NW,836,HYATT REGENCY WASHINGTON ON CAPITOL HILL,398984.739999999990687,136391.140000000013970,279731
124,https://www.bedandbreakfastdc.com/accommodations/independence-house-b-b,202-328-3510,20003,Htl_79,504 INDEPENDENCE AVENUE SE,,INDEPENDENCE HOUSE B & B,400070.750000000000000,135549.760000000009313,14495
125,https://www.marriott.com/hotels/travel/wasco-marriott-marquis-washington-dc,202-824-9200,20001,Htl_136,901 MASSACHUSETTS AVENUE NW,1175,"MARRIOT MARQUIS WASHINGTON, DC",397900.489999999990687,137268.869999999995343,239811
126,http://www.marriott.com/hotels/travel/waswe-washington-marriott/,202-872-1500,20037,Htl_137,1221 22ND STREET NW,470,WASHINGTON MARRIOTT GEORGETOWN,395794.150000000023283,137580.779999999998836,300163
127,http://www.marriott.com/hotels/travel/wasdt-washington-marriott-wardman-park/,202-328-2000,20008,Htl_138,2660 WOODLEY ROAD NW,1300,WASHINGTON MARRIOTT WARDMAN PARK,395256.859999999986030,139650.429999999993015,284450
128,http://www.washingtonplazahotel.com/,202-842-1300,20005,Htl_139,10 THOMAS CIRCLE NW,355,WASHINGTON PLAZA HOTEL,397313.440000000002328,137599.779999999998836,298252
129,http://www.westingeorgetown.com/,202-429-0100,20037,Htl_140,2350 M STREET NW,267,"THE WESTIN GEORGETOWN, WASHINGTON D.C.",395568.160000000032596,137458.440000000002328,242338
130,http://www.windsor-inn-hotel-dc.com/,202-667-0300,20009,Htl_142,1842 16TH STREET NW,58,WINDSOR INN,396795.859999999986030,138602.890000000013970,241907
14,http://hiltondcnationalmall.com/,202-871-8345,20024,Htl_14,480 L'ENFANT PLAZA SW,372,HILTON WASHINGTON DC NATIONAL MALL,397885.970000000030268,135118.500000000000000,302307
131,http://www.windsorparkhotel.com/,202-483-7700,20008,Htl_143,2116 KALORAMA ROAD NW,43,WINDSOR PARK HOTEL,395789.750000000000000,138921.369999999995343,234981
132,http://www.dcinns.com/woodley.html,202-667-0218,20008,Htl_144,2647 WOODLEY ROAD NW,15,WOODLEY PARK GUEST HOUSE,395340.510000000009313,139778.290000000008149,219986
133,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-noma-union-station-DCANYHX/index.html,202-393-1001,20002,,501 NEW YORK AVENUE NE,,HAMPTON INN WASHINGTON DC NOMA UNION STATION,400267.789999999979045,138159.119999999995343,288413
134,http://conradhotels3.hilton.com/en/hotels/district-of-columbia/conrad-washington-dc-WASCICI/index.html,202-844-5900,20001,,950 NEW YORK AVENUE NW,,CONRAD WASHINGTON DC,397796.440000000002328,137065.779999999998836,309621
135,https://wharfintercontinentaldc.com,202-800-0844,20024,,801 WHARF STREET SW,,INTERCONTINENTAL WASHINGTON D.C. - THE WHARF,397826.679999999993015,134620.130000000004657,312937
136,https://www.stayalfred.com/property/stay-alfred-on-8th-street,855-923-8300,20004,,425 8TH STREET NW,,STAY ALFRED ON 8TH STREET,398029.030000000027940,136443.640000000013970,226572
137,https://www.thewatergatehotel.com,202-827-1600,20037,,2650 VIRGINIA AVENUE NW,336,THE WATERGATE HOTEL,395157.969999999972060,136832.940000000002328,279606
138,https://www.trumphotels.com/washington-dc,202-695-1100,20004,,1100 PENNSYLVANIA AVENUE NW,263,"TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.",397609.020000000018626,136250.589999999996508,293192
139,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-convention-center-WASCOHW,202-628-4663,20001,,465 NEW YORK AVENUE NW,,HOMEWOOD SUITES WASHINGTON DC CONVENTION CENTER,398413.460000000020955,137391.339999999996508,279794
140,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-capitol-navy-yard-WASCAHW/index.html,202-899-2800,20003,,50 M STREET SE,195,HOMEWOOD SUITES WASHINGTON DC CAPITOL - NAVY YARD,399369.479999999981374,134315.820000000006985,278548
15,http://www.capitalhostels.com/,202-450-3450,20001,Htl_15,301 I STREET NW,,CAPITAL VIEW HOSTEL,398661.380000000004657,137068.230000000010477,289320
141,https://dcnationalmall.place.hyatt.com/en/hotel/home.html,202-803-6110,20024,,400 E STREET SW,214,HYATT PLACE WASHINGTON DC/NATIONAL MALL,398441.400000000023283,135024.880000000004657,311526
142,https://www.marriott.com/hotels/travel/wasxr-residence-inn-washington-capitol-hill-navy-yard/,202-770-2800,20003,,1233 1ST STREET SE,,RESIDENCE INN WASHINGTON CAPITOL HILL/NAVY YARD,399461.770000000018626,134232.500000000000000,70461
143,https://www.thelinehotel.com/dc/,202-588-0525,20009,,1770 EUCLID STREET NW,,THE LINE DC,396383.719999999972060,139433.190000000002328,235625
144,https://www.eatonworkshop.com/hotel/dc,202-289-7600,20005,,1201 K STREET NW,209,EATON WASHINGTON DC,397531.090000000025611,137229.350000000005821,243282
145,https://www.birdhousebnb.com/index.htm,202-770-7059,20001,,327 T STREET NW,7,THE BIRDHOUSE BED AND BREAKFAST,398522.460000000020955,138690.309999999997672,229780
146,https://www.bedandbreakfastdc.com,202-328-3510,20005,,1339 14TH STREET NW,,BED AND BREAKFAST DC,397256.450000000011642,137853.910000000003492,229780
147,https://www.thepodhotel.com/pod-dc/,202-847-4444,20001,,627 H STREET NW,,POD HOTEL DC,398161.010000000009313,136907.109999999986030,238700
148,https://www.marriott.com/hotels/travel/wasyv-courtyard-washington-downtown-convention-center/,202-589-1800,20001,,901 L STREET NW,,COURTYARD WASHINGTON DOWNTOWN/CONVENTION CENTER,397891.940000000002328,137388.160000000003492,313138
149,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-georgetown-area-WASWEGI/index.html,202-947-6010,20037,,2201 M STREET NW,,HILTON GARDEN INN WASHINGTON DC/GEORGETOWN AREA,395744.299999999988358,137516.989999999990687,243160
150,https://www.cambriadc.com/en-us,202-299-1188,20001,,899 O STREET NW,,"CAMBRIA HOTEL WASHINGTON, DC CONVENTION CENTER",397942.869999999995343,137876.500000000000000,310640
16,http://capitolhillhotel-dc.com/,202-543-6000,20003,Htl_16,200 C STREET SE,152,CAPITOL HILL HOTEL,399733.270000000018626,135376.880000000004657,278017
151,https://www.luxbnb.com/,202-341-8799,20016,,5185 MACARTHUR BOULEVARD NW,,LUXBNB,391092.190000000002328,139878.209999999991851,275285
152,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-white-house/waszw,202-830-1900,20005,,1522 K STREET NW,164,HYATT PLACE WASHINGTON DC/WHITE HOUSE,396906.880000000004657,137144.670000000012806,218324
153,http://canopy3.hilton.com/en/hotels/district-of-columbia/canopy-by-hilton-washington-dc-the-wharf-DCACUPY/index.html,202-488-2500,20024,,975 7TH STREET SW,,CANOPY WASHINGTON DC THE WHARF,397966.809999999997672,134522.209999999991851,313288
154,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-georgetown-west-end/waszm,202-838-2222,20037,,2121 M STREET NW,168,HYATT PLACE WASHINGTON DC/GEORGETOWN/WEST END,395823.059999999997672,137519.470000000001164,310698
155,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-and-suites-washington-dc-navy-yard-WASNYHX/index.html,202-800-1000,20003,,1265 1ST STREET SE,,HAMPTON INN & SUITES WASHINGTON DC-NAVY YARD,399463.000000000000000,134128.670000000012806,304845
156,https://washingtondcuscapitol.place.hyatt.com/en/hotel/home.html,202-289-5599,20002,,33 NEW YORK AVENUE NE,200,HYATT PLACE WASHINGTON DC/US CAPITOL,399333.460000000020955,137743.130000000004657,37070
157,https://www.marriott.com/hotels/maps/travel/wasrd-residence-inn-washington-downtown-convention-center/,202-408-5300,20001,,901 L STREET NW,,RESIDENCE INN WASHINGTON DOWNTOWN/CONVENTION CENTER,397891.940000000002328,137388.160000000003492,313138
158,https://www.duonomad.com,202-629-3495,20003,,1010 PENNSYLVANIA AVENUE SE,,DUO NOMAD,400684.390000000013970,135058.690000000002328,75803
159,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-noma-union-station-DCANEHW/index.html,202-393-8001,20002,,501 NEW YORK AVENUE NE,,HOMEWOOD SUITES WASHINGTON DC NOMA UNION STATION,400267.789999999979045,138159.119999999995343,288413
160,http://highroadhostels.com/,202-735-3622,20009,,1804 BELMONT ROAD NW,,HIGHROAD HOSTE,396332.719999999972060,139171.420000000012806,235426
17,http://www.capitolskyline.com/,202-488-7500,20024,Htl_17,10 I STREET SW,203,CAPITOL SKYLINE HOTEL,399155.720000000030268,134576.959999999991851,276385
161,http://www.thearchitecthotel.com/,202-408-8200,20005,,1025 15TH STREET NW,,THE ARCHITECT HOTEL,397027.849999999976717,137299.820000000006985,278793
162,https://www.averygeorgetown.com/,202-827-4390,20007,,2616 P STREET NW,,THE AVERY GEORGETOWN,395199.080000000016298,137931.279999999998836,272383
163,https://www.thegeorgetownhousedc.com/,202-827-4294,20007,,1061 31ST STREET NW,11,THE GEORGETOWN HOUSE,394711.700000000011642,137387.339999999996508,273844
164,http://www.cityhousehostels.com/washington-dc/,202-370-6390,20002,,506 H STREET NE,,CITY HOUSE HOSTEL WASHINGTON DC,400078.390000000013970,136952.920000000012806,13950
165,http://duohousing.com/,202-808-2195,20001,,1223 11TH STREET NW,,DUO HOUSING HOSTEL,397681.390000000013970,137623.369999999995343,239327
166,https://www.capitolhillbnb.com/en-us,202-798-1262,20002,,101 5TH STREET NE,11,FOUND PLACES CAPITOL HILL BED AND BREAKFAST,400064.159999999974389,135914.890000000013970,75958
167,http://theivymansion.com/,202-302-0242,20009,,1705 21ST STREET NW,,IVY MANSION B&B AT DUPONT CIRCLE,395975.250000000000000,138345.350000000005821,277124
168,http://www.malolobandb.com/,202-670-6332,20019,,5213 B STREET SE,4,,406368.729999999981374,135351.859999999986030,11549
169,http://mvsbed.com/,888-399-5496,20001,,400 M STREET NW,5,MT. VERNON SQUARE BED & BREAKFAST,398581.359999999986030,137512.450000000011642,237558
18,https://www.carlylehoteldc.com/boutique-hotels-washington-dc/,202-234-3200,20009,Htl_18,1731 NEW HAMPSHIRE AVENUE NW,170,KIMPTON CARLYLE HOTEL,396576.770000000018626,138386.850000000005821,241652
19,http://www.thechurchillhotel.com/,202-797-2000,20009,Htl_20,1914 CONNECTICUT AVENUE NW,173,THE CHURCHILL HOTEL NEAR EMBASSY ROW,395927.400000000023283,138724.010000000009313,235060
20,https://clubquartershotels.com/locations/club-quarters-hotel-washington-dc,202-463-6400,20006,Htl_21,839 17TH STREET NW,185,"CLUB QUARTERS HOTEL WASHINGTON, D.C.",396596.190000000002328,137025.429999999993015,218777
3,http://www.stayaka.com/locations/white_house/default.aspx,202-904-2500,20006,Htl_3,1710 H STREET NW,142,AKA WHITE HOUSE,396504.910000000032596,136901.480000000010477,218432
21,https://www.choicehotels.com/district-of-columbia/washington/quality-inn-hotels/dc012,202-832-3200,20002,Htl_22,1600 NEW YORK AVENUE NE,134,QUALITY INN  & SUITES NEW YORK AVE,401736.919999999983702,138839.790000000008149,60554
22,https://www.dcdowntownhotel.com/,202-682-5300,20005,Htl_23,1201 13TH STREET NW,100,COMFORT INN DOWNTOWN DC/CONVENTION CENTER,397454.330000000016298,137561.179999999993015,240912
23,http://www.marriott.com/hotels/travel/wascn-courtyard-washington-convention-center/,202-638-4600,20004,Htl_24,900 F STREET NW,188,COURTYARD WASHINGTON CONVENTION CENTER,397889.760000000009313,136579.880000000004657,243269
24,http://www.marriott.com/hotels/travel/wasnw-courtyard-washington-dc-dupont-circle/,202-332-9300,20009,Htl_25,1900 CONNECTICUT AVENUE NW,147,"COURTYARD WASHINGTON, DC/DUPONT CIRCLE",395935.010000000009313,138685.679999999993015,235054
25,http://www.marriott.com/hotels/travel/wasem-courtyard-washington-embassy-row/,202-293-8000,20036,Htl_26,1600 RHODE ISLAND AVENUE NW,158,COURTYARD WASHINGTON EMBASSY ROW,396793.260000000009313,137645.950000000011642,242882
26,http://www.marriott.com/hotels/travel/wasfb-courtyard-washington-dc-foggy-bottom/,202-296-5700,20006,Htl_27,515 20TH STREET NW,149,"COURTYARD WASHINGTON, DC/FOGGY BOTTOM",396123.410000000032596,136519.290000000008149,279821
27,http://www.marriott.com/hotels/travel/wasus-courtyard-washington-dc-us-capitol/,202-898-4000,20002,Htl_28,1325 2ND STREET NE,218,"COURTYARD WASHINGTON, DC/U.S. CAPITOL",399725.600000000034925,137770.750000000000000,304846
28,http://www.marriott.com/hotels/travel/wasny-courtyard-washington-capitol-hill-navy-yard/,202-479-0027,20003,Htl_29,140 L STREET SE,204,COURTYARD WASHINGTON CAPITOL HILL/NAVY YARD,399656.309999999997672,134430.269999999989523,299775
29,http://www.dcdaysinn.com/,202-244-5600,20008,Htl_30,4400 CONNECTICUT AVENUE NW,155,DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,394312.780000000027940,142119.110000000015134,222132
30,https://www.wyndhamhotels.com/days-inn/washington-district-of-columbia/days-inn-washington-dc-gateway/overview,202-832-5800,20002,Htl_31,2700 NEW YORK AVENUE NE,195,DAYS INN BY WYNDHAM WASHINGTON DC/GATEWAY,402549.669999999983702,138901.290000000008149,287175
4,http://www.hotelhive.com,202-849-8499,20037,Htl_4,2224 F STREET NW,50,HOTEL HIVE,395691.859999999986030,136591.260000000009313,242724
31,http://dclofty.com/,202-506-7106,20001,Htl_32,1333 11TH STREET NW,,DC LOFTY HOSTEL,397680.450000000011642,137828.399999999994179,239320
32,http://dcembassyinn.wixsite.com/district,202-232-7800,20005,Htl_33,1440 RHODE ISLAND AVENUE NW,58,THE DISTRICT HOTEL,397116.940000000002328,137792.420000000012806,218282
33,http://www.donovanhousehotel.com/,202-737-1200,20005,Htl_34,1155 14TH STREET NW,193,KIMPTON DONOVAN HOTEL,397261.850000000034925,137470.799999999988358,242940
34,https://www.thedarcyhotel.com/,202-232-7000,20005,Htl_35,1515 RHODE ISLAND AVENUE NW,226,THE DARCY HOTEL,396920.299999999988358,137786.809999999997672,242312
35,http://www.dcinns.com/embassy.html,202-232-7744,20008,Htl_36,2224 R STREET NW,11,EMBASSY CIRCLE GUEST HOUSE,395680.150000000023283,138285.649999999994179,234892
36,http://www.embassyrowhotel.com/,202-265-1600,20036,Htl_37,2015 MASSACHUSETTS AVENUE NW,231,THE EMBASSY ROW HOTEL,396037.260000000009313,138096.799999999988358,225934
37,http://www.embassysuitesdcmetro.com/,202-362-9300,20015,Htl_38,4300 MILITARY ROAD NW,198,EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,392643.239999999990687,143654.269999999989523,301908
38,http://embassysuites3.hilton.com/en/hotels/district-of-columbia/embassy-suites-washington-dc-convention-center-WASCCES/index.html,202-739-2001,20001,Htl_39,900 10TH STREET NW,382,EMBASSY SUITES BY HILTON WASHINGTON DC CONVENTION CENTER,397727.049999999988358,137129.179999999993015,300519
39,http://www3.hilton.com/en/hotels/district-of-columbia/the-district-by-hilton-club-WASVCGV/index.html,202-449-3100,20037,Htl_40,1250 22ND STREET NW,318,THE DISTRICT BY HILTON CLUB,395711.330000000016298,137666.779999999998836,242364
40,http://www.marriott.com/hotels/travel/wasfc-fairfield-inn-and-suites-washington-dc-downtown/,202-289-5959,20001,Htl_42,500 H STREET NW,189,"FAIRFIELD INN & SUITES WASHINGTON, DC/DOWNTOWN",398330.109999999986030,136867.299999999988358,242981
5,http://www.americanguesthouse.com/,202-588-1180,20009,Htl_5,2005 COLUMBIA ROAD NW,12,AMERICAN GUEST HOUSE,396015.729999999981374,138872.489999999990687,235122
41,http://www.marriott.com/hotels/travel/wasna-fairfield-inn-and-suites-washington-dc-new-york-avenue/,202-266-3000,20002,Htl_43,2305 NEW YORK AVENUE NE,126,"FAIRFIELD INN & SUITES WASHINGTON, DC/NEW YORK AVENUE",402472.600000000034925,138774.410000000003492,307042
42,http://www.fourseasons.com/washington/,202-342-0444,20007,Htl_45,2800 PENNSYLVANIA AVENUE NW,222,FOUR SEASONS HOTEL,395034.790000000037253,137427.610000000015134,279626
43,http://kelloggconferencehotel.com/index.php,202-651-6000,20002,Htl_46,800 FLORIDA AVENUE NE,97,KELLOGG CONFERENCE HOTEL AT GALLAUDET UNIVERSITY,400439.780000000027940,137546.459999999991851,288964
44,https://arcthehoteldc.com,202-843-1564,20037,Htl_47,824 NEW HAMPSHIRE AVENUE NW,95,ARC THE.HOTEL,395430.479999999981374,136931.619999999995343,274009
45,http://www.georgetownhillinn.com/,202-298-6021,20007,Htl_48,1832 WISCONSIN AVENUE NW,8,GEORGETOWN HILL INN,394121.479999999981374,138623.600000000005821,274540
46,http://www.georgetowninn.com/,202-333-8900,20007,Htl_49,1310 WISCONSIN AVENUE NW,96,GEORGETOWN INN,394486.890000000013970,137707.089999999996508,279035
47,http://www.georgetownsuites.com/,202-298-7800,20007,Htl_50,1000 29TH STREET NW,222,GEORGETOWN SUITES HARBOUR,394938.040000000037253,137231.279999999998836,276422
48,http://www.acc-guhotelandconferencecenter.com/,202-687-3200,20007,Htl_51,3800 RESERVOIR ROAD NW,146,GEORGETOWN UNIVERSITY HOTEL & CONFERENCE CENTER,393470.869999999995343,138262.649999999994179,291547
49,http://www.georgetownsuites.com/,202-298-7800,20007,Htl_52,1111 30TH STREET NW,220,GEORGETWON SUITES 30TH STREET,394887.130000000004657,137391.100000000005821,294968
50,https://washingtondc.grand.hyatt.com/en/hotel/home.html,202-582-1234,20001,Htl_53,1000 H STREET NW,897,GRAND HYATT WASHINGTON,397702.330000000016298,136832.399999999994179,239368
6,,202-570-1281,20010,Htl_6,1207 KENYON STREET NW,6,ASANTE SANA INN,397537.260000000009313,140226.600000000005821,231121
51,http://www.hamiltonhoteldc.com/,202-682-0111,20005,Htl_54,1001 14TH STREET NW,301,HAMILTON HOTEL WASHINGTON DC,397260.090000000025611,137229.869999999995343,240644
52,http://www.thedupontcollection.com,202-359-8432,20036,Htl_81,1312 19TH STREET NW,8,INN AT DUPONTÂ SOUTH,396210.200000000011642,137765.640000000013970,241066
53,https://igh-dc.com/,202-726-5808,20011,Htl_82,1441 KENNEDY STREET NW,12,INTERNATIONAL GUEST HOUSE,396932.700000000011642,143169.269999999989523,255891
54,http://www.jeffersondc.com/,202-448-2300,20036,Htl_83,1200 16TH STREET NW,96,"THE JEFFERSON, WASHINGTON, DC",396794.580000000016298,137565.110000000015134,242021
55,http://www.marriott.com/hotels/travel/wasjw-jw-marriott-washington-dc/,202-393-2000,20004,Htl_84,1331 PENNSYLVANIA AVENUE NW,772,JW MARRIOTT,397278.549999999988358,136502.519999999989523,279081
56,http://www.ledroitparkrenaissancebedandbreakfast.com/,202-277-7847,20001,Htl_86,210 T STREET NW,2,LEDROIT PARK BED AND BREAKFEAST,398707.989999999990687,138650.040000000008149,229977
57,http://www3.hilton.com/en/hotels/district-of-columbia/the-madison-washington-dc-a-hilton-hotel-DCAKEHH/accommodations/index.html,202-862-1600,20005,Htl_87,1177 15TH STREET NW,365,"THE MADISON WASHINGTON DC, A HILTON HOTEL",397045.729999999981374,137501.850000000005821,240251
58,https://www.mandarinoriental.com/washington/national-mall/luxury-hotel,202-554-8588,20024,Htl_88,1330 MARYLAND AVENUE SW,400,MANDARIN ORIENTAL,397358.140000000013970,135085.410000000003492,297583
59,http://www.marriott.com/hotels/travel/wasmc-washington-marriott-at-metro-center/,202-737-2200,20005,Htl_89,775 12TH STREET NW,459,MARRIOTT AT METRO CENTER,397589.739999999990687,136834.679999999993015,239130
60,http://www.melrosehoteldc.com/,202-955-6400,20037,Htl_90,2430 PENNSYLVANIA AVENUE NW,277,MELROSE GEORGETOWN HOTEL,395430.700000000011642,137240.970000000001164,279592
7,https://www.avenuesuitesgeorgetown.com/,202-333-8060,20037,Htl_7,2500 PENNSYLVANIA AVENUE NW,124,AVENUE SUITES HOTEL,395344.679999999993015,137287.830000000016298,273885
61,http://www.morrisonclark.com/,202-898-1200,20001,Htl_91,1011 L STREET NW,114,MORRISON-CLARK INN,397701.219999999972060,137391.540000000008149,239355
62,https://www.motel6.com/en/motels.dc.washington.4063.html?ncr=true,202-722-1600,20012,Htl_92,6711 GEORGIA AVENUE NW,72,MOTEL 6 WASHINGTON DC,397678.380000000004657,144905.559999999997672,285354
63,https://www.motel6.com/en/motels.dc.washington.4481.html?ncr=true,202-544-2000,20002,Htl_93,1345 4TH STREET NE,33,MOTEL 6 WASHINGTON DC - CONVENTION CENTER,400182.309999999997672,138034.170000000012806,66534
64,https://www.omnihotels.com/hotels/washington-dc-shoreham,202-234-0700,20008,Htl_95,2500 CALVERT STREET NW,832,OMNI SHOREHAM HOTEL,395346.419999999983702,139418.290000000008149,277165
65,http://www.thecirclehotel.com/,202-872-1680,20037,Htl_96,1 WASHINGTON CIRCLE NW,151,ONE WASHINGTON CIRCLE HOTEL,395686.799999999988358,137280.700000000011642,242366
66,http://parkwashington.hyatt.com/en/hotel/home.html,202-789-1234,20037,Htl_97,1201 24TH STREET NW,216,PARK HYATT WASHINGTON,395565.690000000002328,137542.450000000011642,242765
67,http://www.phoenixparkhotel.com/,202-638-6900,20001,Htl_98,520 NORTH CAPITOL STREET NW,149,PHOENIX PARK HOTEL,399177.799999999988358,136581.709999999991851,237156
68,https://www.thewinkhoteldc.com/,202-775-0800,20037,Htl_99,1143 NEW HAMPSHIRE AVENUE NW,346,THE WINK WASHINGTON DC,395874.559999999997672,137431.640000000013970,243210
69,http://www.marriott.com/hotels/travel/wasrb-renaissance-washington-dc-downtown-hotel/,202-898-9000,20001,Htl_100,999 9TH STREET NW,807,RENAISSANCE WASHINGTON DC DOWNTOWN,397945.239999999990687,137108.459999999991851,218802
70,http://www.marriott.com/hotels/travel/wasdc-residence-inn-washington-dc-downtown/,202-898-1100,20005,Htl_101,1199 VERMONT AVENUE NW,202,"RESIDENCE INN WASHINGTON, DC DOWNTOWN",397192.179999999993015,137395.970000000001164,278914
